crop_type,region,demand_tons,supply_tons,avg_quality_score,avg_batch_age_days,market_price_per_kg
tomato,Bangalore,10.5,12.7,0.96,3.5,12.72
tomato,Hyderabad,27.8,23.0,0.73,7.2,12.54
wheat,Hyderabad,24.8,19.9,0.91,3.8,21.78
wheat,Chennai,18.7,37.0,0.77,2.4,18.59
wheat,Bangalore,20.0,40.3,0.97,7.0,17.3
wheat,Chennai,22.8,25.5,0.86,7.6,19.04
onion,Chennai,25.0,37.5,0.84,2.4,13.24
wheat,Chennai,10.8,17.4,0.71,6.0,21.98
onion,Chennai,22.3,42.3,0.64,4.6,13.07
wheat,Hyderabad,13.3,20.1,0.72,2.7,23.22
onion,Hyderabad,17.6,36.0,0.63,7.1,8.81
wheat,Bangalore,19.8,22.4,0.8,7.6,20.3
tomato,Bangalore,13.1,23.7,0.82,4.5,12.04
onion,Hyderabad,35.1,40.1,0.9,4.1,17.23
onion,Bangalore,14.8,33.6,0.67,5.9,10.08
tomato,Hyderabad,10.1,35.2,0.89,4.6,6.76
onion,Chennai,12.5,10.7,0.67,7.2,14.54
wheat,Chennai,25.6,31.3,0.7,1.4,20.04
onion,Hyderabad,17.0,17.7,0.98,5.3,14.47
onion,Bangalore,26.2,34.4,0.88,2.2,21.1
onion,Chennai,22.4,40.5,0.85,4.7,13.6
tomato,Bangalore,23.2,44.3,0.8,1.8,8.41
onion,Bangalore,30.4,37.1,0.98,6.4,17.98
wheat,Bangalore,22.2,41.0,0.69,6.0,15.55
tomato,Chennai,31.7,28.7,0.93,6.7,14.19
wheat,Chennai,33.7,25.8,0.67,7.0,24.48
tomato,Hyderabad,24.0,12.6,0.76,6.6,15.75
onion,Chennai,21.7,29.0,0.99,1.5,19.88
tomato,Bangalore,12.2,23.1,0.92,4.0,10.07
onion,Chennai,21.2,12.4,0.75,4.2,19.54
wheat,Chennai,20.5,42.5,0.75,6.8,12.87
wheat,Chennai,33.2,29.2,0.63,6.4,23.17
onion,Chennai,33.5,36.3,0.92,4.6,18.99
tomato,Hyderabad,15.1,16.8,0.96,6.2,11.7
tomato,Hyderabad,28.2,25.2,0.91,7.0,17.16
onion,Bangalore,31.5,19.5,0.68,3.2,22.84
tomato,Hyderabad,35.8,40.4,0.89,6.2,16.35
onion,Hyderabad,34.7,33.1,0.92,2.9,23.7
onion,Bangalore,17.9,42.9,0.85,3.3,10.59
onion,Chennai,16.6,30.8,0.71,5.6,11.43
wheat,Hyderabad,33.3,36.6,0.68,1.6,21.07
tomato,Bangalore,17.8,11.2,0.95,2.7,21.6
tomato,Chennai,30.0,21.3,0.96,7.2,17.13
tomato,Chennai,12.8,36.2,0.93,5.9,6.4
onion,Hyderabad,40.0,21.4,0.9,6.6,20.81
wheat,Hyderabad,35.5,24.2,0.61,1.6,26.47
tomato,Hyderabad,10.5,10.6,0.97,5.9,12.67
wheat,Chennai,26.9,31.9,0.95,5.1,20.5
tomato,Bangalore,29.1,35.7,0.87,2.0,18.2
wheat,Hyderabad,37.9,22.0,0.81,2.5,32.6
wheat,Bangalore,39.4,32.7,0.92,6.0,22.75
wheat,Bangalore,30.2,33.7,0.75,7.6,18.83
tomato,Bangalore,11.6,32.5,0.99,1.5,14.89
wheat,Bangalore,15.4,34.7,0.78,5.7,16.27
tomato,Chennai,15.1,10.7,0.91,5.3,17.48
onion,Chennai,37.3,32.4,0.98,7.2,19.83
onion,Bangalore,35.0,32.5,0.63,6.2,17.19
tomato,Chennai,12.5,31.2,0.95,7.2,5.89
onion,Hyderabad,16.3,40.2,0.95,2.4,12.07
wheat,Bangalore,39.9,11.1,0.96,5.4,33.32
wheat,Bangalore,24.0,39.7,0.62,3.3,18.25
onion,Bangalore,12.6,23.5,0.63,2.5,16.32
onion,Hyderabad,24.1,19.4,0.64,2.2,17.3
wheat,Chennai,28.9,17.7,0.61,6.8,21.86
tomato,Bangalore,19.1,44.1,0.67,7.3,5.56
onion,Bangalore,24.4,37.3,0.72,3.2,18.1
onion,Hyderabad,12.5,26.1,0.72,6.8,11.81
tomato,Chennai,31.8,30.1,0.87,6.4,12.47
wheat,Chennai,19.4,28.8,0.94,7.9,17.09
wheat,Bangalore,24.7,36.0,0.8,4.4,20.78
wheat,Hyderabad,13.5,38.0,0.65,5.9,13.91
tomato,Bangalore,38.5,16.1,0.83,5.1,15.59
onion,Chennai,29.3,18.0,0.82,3.6,20.85
onion,Bangalore,18.4,17.7,0.67,6.8,16.83
onion,Bangalore,27.3,29.6,0.75,6.5,15.2
wheat,Hyderabad,27.2,21.8,1.0,1.2,29.32
wheat,Chennai,25.6,28.3,0.84,6.3,23.1
tomato,Bangalore,17.0,19.3,0.82,2.4,18.84
onion,Chennai,38.5,43.1,0.84,7.5,15.76
tomato,Bangalore,33.2,34.6,0.85,6.3,15.53
wheat,Bangalore,31.1,42.7,0.75,6.0,21.5
onion,Bangalore,11.4,32.6,0.69,5.7,9.85
onion,Hyderabad,13.7,31.9,0.71,7.0,11.72
tomato,Hyderabad,24.0,37.1,0.97,2.3,14.72
wheat,Chennai,30.9,31.4,0.68,1.4,27.84
tomato,Chennai,30.3,29.8,0.97,3.7,17.95
onion,Chennai,10.6,38.9,0.81,6.4,7.0
tomato,Bangalore,38.8,33.4,0.97,2.9,15.98
tomato,Chennai,30.4,21.1,0.94,7.6,16.17
onion,Bangalore,18.4,43.7,0.6,6.0,9.5
tomato,Hyderabad,23.1,37.8,0.71,2.0,13.15
onion,Chennai,39.8,28.9,0.99,7.6,19.44
onion,Chennai,11.9,13.2,0.67,5.2,16.81
onion,Chennai,11.8,41.7,0.86,2.9,5.08
wheat,Hyderabad,18.8,14.0,0.98,6.5,25.52
onion,Hyderabad,22.1,41.0,0.96,7.4,11.16
wheat,Hyderabad,13.2,25.4,0.89,7.6,18.87
onion,Bangalore,32.0,28.6,0.72,4.4,19.55
onion,Chennai,27.9,25.2,0.67,1.8,22.37
wheat,Hyderabad,29.8,42.6,0.93,5.0,19.16
wheat,Hyderabad,22.3,29.6,0.98,1.6,25.24
onion,Bangalore,12.3,22.7,0.64,5.1,12.4
tomato,Bangalore,36.9,37.4,0.88,5.3,13.33
wheat,Chennai,33.7,36.2,0.82,2.7,24.17
onion,Chennai,17.8,43.9,0.77,3.4,10.42
tomato,Hyderabad,27.2,14.8,0.88,7.3,20.12
wheat,Bangalore,12.3,41.4,0.92,2.1,16.46
tomato,Bangalore,35.0,22.5,0.97,5.0,17.51
onion,Hyderabad,14.2,30.2,0.9,6.5,10.92
onion,Bangalore,38.0,33.9,0.81,1.2,21.0
tomato,Chennai,22.2,15.6,0.86,7.8,17.56
tomato,Hyderabad,22.5,14.1,0.85,7.6,15.75
wheat,Bangalore,29.4,18.1,0.87,7.6,23.54
tomato,Bangalore,37.0,43.7,0.78,6.3,10.27
onion,Chennai,26.1,19.7,0.69,3.0,19.91
onion,Bangalore,16.6,28.1,0.88,1.7,17.82
wheat,Hyderabad,17.9,21.0,0.93,1.4,20.29
tomato,Bangalore,18.6,13.2,0.73,1.3,16.8
tomato,Bangalore,21.9,25.5,0.96,5.6,12.59
tomato,Hyderabad,25.0,25.2,0.7,4.8,12.95
tomato,Bangalore,37.0,17.5,0.95,4.9,21.92
wheat,Bangalore,31.9,22.1,0.87,6.6,25.69
onion,Bangalore,22.0,37.4,0.71,7.9,10.62
wheat,Chennai,30.6,14.2,0.98,2.3,29.49
wheat,Bangalore,16.7,20.8,0.82,3.9,21.1
wheat,Bangalore,33.9,35.3,0.88,3.4,22.64
wheat,Bangalore,11.6,15.6,0.73,1.5,24.44
onion,Bangalore,19.1,19.3,0.71,2.9,18.06
tomato,Chennai,37.8,17.5,0.77,1.1,23.92
onion,Bangalore,33.6,20.7,0.62,5.1,22.01
tomato,Hyderabad,10.2,12.2,0.81,5.0,12.4
wheat,Chennai,15.8,13.3,0.76,2.1,25.61
wheat,Bangalore,19.5,19.1,0.64,1.6,20.96
wheat,Chennai,32.6,11.8,0.8,4.1,30.65
wheat,Hyderabad,21.8,28.5,0.66,5.0,20.39
tomato,Bangalore,18.0,22.6,0.76,5.8,13.22
tomato,Chennai,11.0,23.7,0.88,2.4,10.15
onion,Hyderabad,18.9,18.0,0.76,2.7,21.45
wheat,Hyderabad,34.8,33.6,0.93,3.8,25.09
tomato,Chennai,30.1,19.5,0.63,7.9,12.44
onion,Hyderabad,39.7,44.2,0.92,5.6,18.95
wheat,Hyderabad,24.0,31.7,0.76,4.0,20.75
tomato,Chennai,10.7,25.0,0.71,1.9,12.08
wheat,Chennai,17.6,26.5,0.8,2.4,19.74
wheat,Bangalore,33.0,18.9,0.95,1.7,31.53
wheat,Chennai,36.7,43.0,0.91,1.0,24.81
onion,Chennai,21.3,15.0,0.61,4.2,19.02
tomato,Chennai,16.6,12.1,0.65,5.2,15.07
onion,Hyderabad,13.4,44.9,0.67,5.2,5.67
onion,Bangalore,28.7,38.2,0.94,4.4,15.98
onion,Bangalore,30.2,35.3,0.8,5.4,15.25
wheat,Bangalore,27.3,29.7,0.8,1.5,26.6
onion,Bangalore,28.0,21.9,0.97,3.8,22.64
onion,Chennai,33.5,44.8,0.84,3.2,14.88
tomato,Chennai,27.4,18.9,0.9,1.6,19.48
wheat,Chennai,23.3,11.5,0.87,7.3,25.21
wheat,Chennai,13.8,14.4,0.93,7.5,20.43
tomato,Bangalore,36.8,32.6,0.72,3.1,9.92
wheat,Bangalore,10.4,21.3,0.82,2.0,21.48
wheat,Bangalore,21.5,33.3,1.0,2.6,23.42
wheat,Bangalore,19.4,13.4,0.67,7.9,23.55
onion,Hyderabad,36.7,26.2,0.73,4.3,16.28
tomato,Bangalore,24.7,40.1,0.84,5.9,11.6
tomato,Hyderabad,13.6,30.0,0.7,6.6,5.65
wheat,Chennai,39.8,13.2,0.91,5.7,28.57
wheat,Bangalore,33.9,18.1,0.69,4.9,28.28
onion,Hyderabad,24.4,30.5,0.82,1.6,21.34
onion,Hyderabad,29.1,38.7,0.62,4.5,19.0
onion,Chennai,28.0,32.9,0.66,7.8,11.22
wheat,Hyderabad,29.2,26.3,0.68,5.9,21.67
onion,Hyderabad,38.2,28.5,0.89,7.5,20.75
wheat,Chennai,19.2,23.0,0.82,6.5,20.15
onion,Hyderabad,39.1,23.2,0.62,3.4,20.5
onion,Bangalore,13.2,14.0,0.98,7.1,17.17
onion,Bangalore,22.4,23.6,0.86,4.1,17.72
wheat,Bangalore,38.2,32.7,0.98,2.1,27.45
onion,Bangalore,28.1,30.4,0.76,3.4,17.82
onion,Bangalore,28.6,34.4,0.69,1.3,16.6
onion,Bangalore,13.0,14.1,0.7,3.1,22.6
onion,Bangalore,21.9,20.4,0.66,2.1,20.62
wheat,Hyderabad,27.9,12.8,0.98,6.3,28.95
onion,Chennai,24.3,32.1,0.93,6.5,15.91
tomato,Hyderabad,38.2,14.4,0.95,7.8,20.94
onion,Hyderabad,25.5,30.3,0.97,5.7,15.4
tomato,Chennai,34.3,43.3,0.61,7.9,6.51
wheat,Chennai,29.3,23.3,0.62,5.2,21.76
wheat,Chennai,21.5,17.6,0.78,1.3,26.82
onion,Bangalore,25.1,12.4,0.69,7.5,19.94
onion,Bangalore,23.4,10.5,0.7,7.1,19.0
wheat,Hyderabad,24.4,10.7,0.93,6.8,23.08
tomato,Chennai,18.5,39.3,0.82,3.6,9.83
tomato,Hyderabad,27.9,23.5,0.94,7.7,12.79
wheat,Hyderabad,15.8,26.6,0.6,1.2,22.75
wheat,Bangalore,26.7,43.6,0.62,1.7,24.01
onion,Chennai,15.6,28.9,0.86,1.3,16.37
tomato,Bangalore,33.9,36.5,0.87,2.2,15.49
wheat,Hyderabad,30.7,35.5,0.62,7.5,16.95
wheat,Hyderabad,30.1,32.5,0.76,4.4,20.54
tomato,Chennai,39.7,11.4,0.99,4.8,21.13
onion,Chennai,33.9,33.7,0.82,4.3,18.64
wheat,Hyderabad,23.1,32.0,0.86,6.9,20.56
onion,Chennai,31.9,27.1,0.85,6.2,16.57
onion,Hyderabad,10.5,16.8,0.92,2.9,16.98
wheat,Bangalore,15.4,43.5,0.96,5.6,16.86
onion,Bangalore,28.6,29.9,0.62,5.4,12.74
tomato,Bangalore,22.3,22.4,0.72,6.1,16.36
wheat,Hyderabad,27.7,42.9,0.74,2.7,16.71
wheat,Bangalore,16.7,12.4,0.93,2.8,27.0
wheat,Chennai,11.3,34.5,0.73,6.2,11.07
tomato,Bangalore,23.2,21.1,0.96,1.4,17.73
tomato,Chennai,18.6,10.2,0.8,3.0,19.4
wheat,Bangalore,24.1,13.2,0.85,4.9,25.95
tomato,Bangalore,17.6,32.5,0.71,4.5,9.89
onion,Bangalore,34.3,25.0,0.9,7.4,17.51
tomato,Chennai,15.4,19.4,0.68,2.7,14.94
onion,Bangalore,22.8,31.5,0.63,1.6,13.41
onion,Chennai,25.5,17.5,0.71,3.8,23.53
tomato,Chennai,38.0,10.7,0.66,7.2,21.95
wheat,Bangalore,26.9,33.2,0.87,7.5,19.83
wheat,Chennai,11.7,14.8,0.6,7.3,17.29
onion,Bangalore,16.3,24.6,0.74,7.4,13.3
onion,Hyderabad,28.6,38.1,0.63,3.7,14.03
onion,Hyderabad,36.6,15.3,0.66,3.3,24.76
onion,Hyderabad,25.1,20.9,0.77,5.5,19.65
tomato,Hyderabad,21.9,10.2,0.81,7.5,16.54
wheat,Bangalore,19.7,36.8,0.66,5.6,16.43
wheat,Chennai,20.2,12.2,0.79,1.8,25.33
wheat,Chennai,26.4,42.4,0.95,6.5,14.65
tomato,Chennai,30.7,43.1,0.87,3.3,16.51
onion,Hyderabad,13.6,20.9,0.92,7.0,14.92
onion,Hyderabad,38.6,21.5,0.86,6.3,24.13
tomato,Bangalore,31.2,36.0,0.87,2.8,13.92
wheat,Hyderabad,15.1,11.9,0.89,4.3,23.31
tomato,Hyderabad,35.1,29.2,0.68,6.0,16.28
tomato,Hyderabad,28.1,26.1,0.93,6.8,12.76
onion,Hyderabad,31.2,42.3,0.66,3.1,15.93
wheat,Chennai,22.2,41.0,0.62,7.7,15.22
wheat,Hyderabad,28.9,40.2,0.65,7.8,18.35
tomato,Chennai,37.3,17.8,0.62,2.8,18.01
onion,Chennai,23.9,11.2,0.65,3.9,21.99
onion,Hyderabad,17.5,12.6,0.87,5.2,16.46
tomato,Chennai,15.9,38.7,0.86,3.9,5.0
tomato,Chennai,11.4,42.6,0.86,6.2,5.76
tomato,Hyderabad,11.6,17.1,0.77,2.5,13.19
tomato,Hyderabad,37.5,39.5,0.9,2.2,16.86
tomato,Bangalore,13.6,27.9,0.74,3.6,10.77
tomato,Chennai,13.3,11.2,1.0,2.6,17.49
onion,Chennai,20.2,25.5,0.87,4.6,16.27
wheat,Chennai,36.0,10.3,0.91,4.2,30.96
onion,Hyderabad,32.6,18.7,0.82,7.9,20.51
onion,Hyderabad,18.0,28.7,0.94,3.3,14.35
onion,Hyderabad,11.8,17.8,0.75,4.1,16.94
wheat,Chennai,24.8,21.6,0.64,7.7,19.59
tomato,Chennai,19.6,15.8,0.91,1.9,17.7
wheat,Hyderabad,19.8,10.7,0.9,1.3,28.12
tomato,Bangalore,14.2,25.4,0.79,2.5,10.02
tomato,Chennai,25.1,10.5,0.92,7.9,16.98
onion,Chennai,38.6,36.4,0.78,5.1,23.38
onion,Chennai,15.8,25.7,0.93,5.6,18.87
wheat,Bangalore,22.0,37.8,0.69,2.3,16.87
wheat,Chennai,16.3,19.1,0.99,6.1,22.96
wheat,Bangalore,31.2,27.6,0.93,4.6,25.11
onion,Hyderabad,24.3,26.7,0.91,5.4,16.03
tomato,Hyderabad,32.4,38.9,0.88,7.5,14.74
tomato,Bangalore,26.9,33.5,0.97,5.3,13.84
tomato,Chennai,17.3,24.9,0.99,5.6,14.19
wheat,Bangalore,25.8,36.6,0.89,2.4,16.99
wheat,Chennai,36.5,22.0,0.87,1.2,25.25
wheat,Chennai,19.5,12.0,0.84,2.7,24.93
onion,Bangalore,12.7,41.9,0.6,4.4,8.16
onion,Bangalore,20.3,13.9,0.83,5.1,18.09
onion,Hyderabad,18.5,12.8,0.95,6.1,21.31
tomato,Bangalore,19.8,23.0,0.9,3.4,16.87
tomato,Bangalore,17.7,26.3,0.69,6.2,10.3
onion,Bangalore,30.7,19.2,0.85,6.8,16.71
tomato,Hyderabad,31.8,37.9,0.93,7.9,11.61
tomato,Chennai,28.7,36.0,0.92,6.9,9.91
onion,Chennai,30.2,25.8,0.9,3.5,20.87
wheat,Bangalore,16.6,13.9,0.84,4.4,23.35
wheat,Bangalore,21.9,31.5,0.92,3.1,20.77
onion,Bangalore,31.2,18.8,0.78,1.9,25.6
onion,Chennai,14.6,35.5,0.84,6.1,8.7
onion,Chennai,27.2,22.0,0.86,1.5,24.76
onion,Bangalore,21.8,26.6,0.94,3.4,17.62
wheat,Bangalore,12.6,37.2,0.94,2.3,15.24
wheat,Bangalore,26.1,32.2,0.68,2.5,20.93
tomato,Bangalore,35.1,34.7,0.97,6.2,12.05
onion,Chennai,25.8,19.1,0.62,6.1,16.3
tomato,Hyderabad,19.1,28.6,0.83,5.2,10.33
onion,Bangalore,39.1,35.5,0.97,6.3,16.83
onion,Chennai,15.8,33.3,0.85,5.2,19.15
wheat,Bangalore,31.8,38.5,0.7,6.4,16.05
onion,Bangalore,29.7,25.3,0.71,4.9,19.97
wheat,Hyderabad,18.6,35.4,0.93,7.0,15.77
onion,Chennai,37.6,10.4,0.82,6.2,23.61
tomato,Chennai,28.4,18.3,0.79,4.0,17.74
tomato,Chennai,15.8,27.7,0.91,1.4,11.98
onion,Bangalore,11.6,39.2,0.65,1.3,12.14
tomato,Bangalore,17.5,13.5,0.76,5.3,13.92
onion,Chennai,20.5,31.6,0.95,2.6,19.31
wheat,Bangalore,39.0,44.0,0.95,5.2,19.09
wheat,Chennai,23.7,26.9,0.9,3.0,25.27
tomato,Chennai,11.7,27.0,0.97,5.3,6.95
tomato,Hyderabad,35.6,29.6,0.81,1.7,19.07
wheat,Chennai,21.3,31.1,0.63,5.8,17.67
wheat,Chennai,33.0,24.2,0.95,5.5,26.53
onion,Bangalore,18.1,21.1,0.94,4.3,16.55
wheat,Hyderabad,28.8,15.4,0.75,2.5,31.09
onion,Bangalore,11.2,21.4,0.79,2.0,16.65
tomato,Hyderabad,22.8,29.8,0.61,1.2,13.03
onion,Bangalore,19.1,11.3,0.8,3.8,23.98
wheat,Bangalore,39.3,16.5,0.78,4.4,32.16
onion,Chennai,13.0,25.0,0.85,2.5,18.04
wheat,Chennai,11.0,18.2,0.72,3.8,20.73
onion,Hyderabad,16.1,43.4,0.97,1.3,11.74
onion,Bangalore,23.0,40.4,0.67,7.6,6.49
wheat,Bangalore,19.8,36.5,0.76,5.3,19.79
onion,Bangalore,18.7,22.9,0.87,1.8,18.91
wheat,Hyderabad,36.0,30.2,0.87,1.1,29.46
tomato,Hyderabad,22.3,27.7,0.6,5.8,9.34
wheat,Chennai,11.2,22.9,0.99,3.9,22.26
onion,Bangalore,33.9,40.3,0.78,4.3,16.55
onion,Hyderabad,30.9,12.9,0.95,4.4,24.95
wheat,Hyderabad,16.6,15.5,0.62,6.8,18.37
tomato,Bangalore,18.7,26.4,0.94,3.1,13.45
wheat,Bangalore,16.0,10.3,0.63,3.6,23.3
onion,Bangalore,10.2,26.0,0.73,1.4,12.5
wheat,Hyderabad,25.6,14.4,0.98,5.5,25.47
onion,Bangalore,12.4,11.6,0.61,2.3,20.56
wheat,Hyderabad,18.7,29.7,0.64,5.3,17.3
onion,Bangalore,33.8,44.5,0.7,4.6,14.64
wheat,Bangalore,38.4,12.0,0.97,1.4,34.04
onion,Chennai,36.7,19.2,0.79,3.3,25.95
onion,Bangalore,21.8,25.7,0.89,3.5,21.86
tomato,Hyderabad,12.2,14.0,0.95,4.3,13.35
tomato,Bangalore,20.4,37.8,0.85,7.6,10.11
wheat,Chennai,14.8,43.6,0.82,1.1,15.9
wheat,Bangalore,16.4,40.4,0.98,2.7,14.5
wheat,Bangalore,11.7,14.5,0.62,6.9,18.4
onion,Bangalore,25.5,44.7,0.84,3.6,13.33
wheat,Hyderabad,10.4,41.4,0.61,2.7,13.32
wheat,Chennai,33.9,21.8,0.88,2.3,27.91
tomato,Bangalore,17.1,15.0,0.67,2.3,18.48
wheat,Chennai,29.6,40.5,0.7,4.2,18.88
wheat,Chennai,29.8,23.6,0.65,2.8,27.98
wheat,Hyderabad,38.7,18.7,0.74,7.3,27.06
tomato,Chennai,25.8,34.1,0.71,6.2,6.9
tomato,Hyderabad,24.7,21.2,0.68,3.2,13.34
wheat,Chennai,33.4,28.3,0.86,6.5,21.95
wheat,Hyderabad,10.2,27.2,0.99,2.9,21.79
onion,Hyderabad,10.9,39.5,0.78,2.5,13.71
onion,Chennai,18.7,18.4,0.69,3.9,15.26
onion,Bangalore,16.5,22.8,0.76,7.8,11.3
tomato,Bangalore,35.7,39.6,0.74,5.8,10.08
tomato,Hyderabad,29.1,44.8,0.91,2.6,12.34
onion,Hyderabad,14.1,40.2,0.93,7.9,8.23
tomato,Hyderabad,39.6,17.9,0.86,5.3,21.54
tomato,Hyderabad,24.2,21.7,0.83,7.2,16.29
onion,Chennai,31.4,25.6,0.61,4.1,20.12
wheat,Bangalore,11.6,25.6,0.82,3.1,19.07
tomato,Hyderabad,14.9,20.6,0.85,3.1,14.59
wheat,Bangalore,35.0,30.2,0.86,4.2,26.02
wheat,Bangalore,11.0,32.4,0.63,4.0,16.15
onion,Hyderabad,30.7,37.8,0.67,1.7,14.07
wheat,Chennai,36.3,28.5,0.79,1.7,28.65
tomato,Bangalore,12.3,13.9,0.62,2.8,14.9
onion,Hyderabad,17.8,23.5,0.98,5.3,18.17
wheat,Hyderabad,32.1,19.6,0.86,3.4,29.0
onion,Hyderabad,33.7,31.1,0.86,8.0,13.27
onion,Hyderabad,12.8,33.8,0.95,4.6,10.8
wheat,Hyderabad,17.7,36.9,0.9,5.1,16.41
onion,Bangalore,23.8,11.9,0.77,4.3,21.72
tomato,Hyderabad,29.2,20.9,0.81,1.5,19.25
onion,Bangalore,20.7,33.9,0.86,6.0,14.07
onion,Bangalore,13.8,32.9,0.62,5.2,7.43
tomato,Chennai,30.1,38.7,0.7,3.9,7.18
onion,Bangalore,36.3,18.5,0.82,2.3,26.69
onion,Chennai,23.1,22.0,0.82,1.6,22.51
onion,Chennai,27.5,16.5,0.68,2.3,22.95
tomato,Chennai,11.5,30.0,0.93,3.3,9.31
tomato,Bangalore,27.9,19.6,0.61,6.1,16.81
wheat,Bangalore,30.3,17.2,0.74,1.9,31.75
onion,Chennai,30.3,40.1,0.99,5.4,16.51
onion,Bangalore,33.4,34.6,0.93,1.4,23.9
tomato,Hyderabad,38.5,20.5,0.61,4.0,20.29
wheat,Hyderabad,16.5,31.7,0.62,4.4,15.58
wheat,Chennai,32.8,27.5,0.96,2.0,24.47
wheat,Bangalore,20.5,39.1,0.8,7.4,15.84
tomato,Hyderabad,15.0,10.1,0.99,7.3,11.42
tomato,Chennai,15.9,43.2,0.68,5.3,5.0
onion,Bangalore,38.4,33.7,0.72,2.3,19.93
tomato,Hyderabad,13.1,24.8,0.92,2.0,13.07
onion,Hyderabad,32.0,39.4,0.82,1.6,17.35
tomato,Chennai,26.1,33.7,0.87,5.4,10.85
wheat,Bangalore,11.2,25.9,0.96,5.0,19.52
onion,Chennai,39.4,44.5,0.87,2.7,17.0
onion,Hyderabad,16.7,40.0,0.93,4.1,9.44
wheat,Bangalore,32.9,42.8,0.98,2.2,22.19
tomato,Chennai,32.1,18.8,0.63,2.9,19.11
onion,Bangalore,17.7,35.2,0.61,3.6,14.17
onion,Chennai,14.4,38.8,0.69,5.6,12.84
onion,Bangalore,27.4,41.9,0.67,1.0,12.8
tomato,Chennai,12.3,24.5,0.87,2.7,12.85
tomato,Chennai,39.7,22.1,0.62,6.1,17.02
wheat,Chennai,16.4,37.4,0.68,2.8,16.34
wheat,Chennai,25.4,34.8,0.96,2.0,20.97
wheat,Bangalore,10.6,15.0,0.86,6.1,18.8
tomato,Chennai,24.5,12.2,0.84,7.9,17.17
wheat,Bangalore,32.6,27.5,0.65,5.1,24.5
onion,Hyderabad,21.7,41.2,0.93,6.0,12.83
wheat,Hyderabad,37.3,15.4,0.85,1.2,29.24
onion,Chennai,20.4,16.0,0.85,7.2,19.57
wheat,Bangalore,15.8,35.1,0.87,3.4,18.18
wheat,Chennai,25.8,17.0,0.9,6.2,25.29
tomato,Hyderabad,36.3,19.4,0.99,3.7,20.31
onion,Bangalore,34.9,24.5,0.7,7.1,16.74
tomato,Hyderabad,23.4,27.1,0.68,5.4,7.86
onion,Chennai,37.5,38.0,0.78,6.0,11.24
wheat,Bangalore,24.8,16.7,0.79,2.7,25.65
onion,Chennai,26.0,32.1,0.82,1.9,20.0
wheat,Chennai,37.9,26.1,0.67,3.1,26.2
tomato,Bangalore,38.0,42.6,0.65,3.7,11.48
onion,Hyderabad,30.0,20.0,0.83,1.8,21.28
onion,Bangalore,39.2,10.2,0.77,1.7,30.6
tomato,Chennai,10.7,24.2,0.69,4.7,10.29
wheat,Hyderabad,17.0,10.7,0.95,7.8,24.64
wheat,Chennai,18.1,44.9,0.94,3.9,16.34
onion,Bangalore,28.7,14.7,0.65,6.9,17.99
wheat,Chennai,25.6,11.3,0.63,5.7,22.56
wheat,Hyderabad,33.7,17.0,0.92,7.0,28.76
tomato,Bangalore,38.6,11.7,0.66,4.8,25.14
tomato,Hyderabad,38.8,11.6,0.66,1.1,26.4
tomato,Hyderabad,38.0,33.3,0.93,1.1,15.23
wheat,Bangalore,12.2,34.0,0.8,6.4,18.61
onion,Bangalore,14.5,32.7,0.67,7.1,7.9
wheat,Hyderabad,25.6,12.6,0.85,2.8,28.7
wheat,Chennai,34.5,44.3,0.8,4.2,18.63
onion,Chennai,17.8,20.4,0.6,7.7,14.6
onion,Hyderabad,23.4,13.6,0.61,5.3,18.36
tomato,Chennai,19.6,36.7,0.92,3.7,11.21
onion,Bangalore,13.8,25.0,0.66,5.9,12.31
tomato,Bangalore,34.4,42.8,0.81,7.7,9.94
onion,Bangalore,21.8,39.7,0.8,4.3,15.6
wheat,Chennai,27.6,42.7,0.89,7.4,16.01
onion,Hyderabad,28.1,28.5,0.82,7.8,15.08
onion,Bangalore,23.8,20.7,0.61,3.3,19.67
onion,Chennai,20.7,25.7,0.99,3.6,17.0
wheat,Bangalore,16.2,34.8,0.61,3.9,14.49
onion,Hyderabad,20.2,29.7,0.68,6.2,14.08
onion,Hyderabad,31.7,21.2,0.96,1.9,24.12
tomato,Chennai,24.8,12.9,0.68,7.6,14.64
onion,Chennai,18.1,34.6,0.86,7.9,11.58
onion,Chennai,25.8,17.1,0.64,3.7,20.97
wheat,Chennai,19.0,15.3,0.71,3.6,23.9
wheat,Bangalore,26.2,12.7,0.61,1.7,28.88
wheat,Hyderabad,34.1,26.3,0.74,1.8,26.3
tomato,Hyderabad,33.5,15.9,0.8,4.4,20.85
wheat,Hyderabad,11.5,12.2,0.67,1.2,24.36
tomato,Chennai,31.7,14.8,0.93,2.1,20.13
tomato,Bangalore,17.6,27.1,0.76,7.9,6.95
tomato,Bangalore,14.3,11.8,0.85,1.4,18.01
onion,Chennai,26.8,16.0,0.68,3.2,24.46
wheat,Bangalore,16.3,14.1,0.99,1.2,28.04
wheat,Chennai,17.7,13.2,0.64,2.4,25.7
wheat,Hyderabad,30.8,15.5,0.7,6.9,22.92
onion,Hyderabad,29.5,13.2,0.98,2.8,28.95
onion,Chennai,22.1,11.8,0.8,1.9,20.21
tomato,Bangalore,34.1,15.4,0.75,3.6,18.17
tomato,Bangalore,34.0,34.8,0.68,3.6,14.7
onion,Chennai,39.6,37.3,0.76,5.0,16.73
tomato,Hyderabad,25.0,23.4,0.99,2.1,15.9
